timestamp,user,fullname,text,hashtags,id,url,retweets,favorites,replies
2019-05-01 10:50:34,realDonaldTrump,Donald J. Trump,"I am overriding the Decommission Order of the magnificent aircraft carrier Harry S. Truman, built in 1998 (fairly new), and considered one of the largest and finest in the world. It will be updated at a fraction of the cost of a new one (which also are being built)!",,1123540207104667649,/realDonaldTrump/status/1123540207104667649,23203,112651,8408
2019-05-01 10:36:14,realDonaldTrump,Donald J. Trump,"“The Democrats can’t come to grips with the fact that there was No Collusion, there was No Conspiracy, there was No Obstruction. What we should be focused on is what’s been going on in our government, at the highest levels of the FBI....” Senator Josh Hawley",,1123536601462788096,/realDonaldTrump/status/1123536601462788096,21635,83821,13552
2019-05-01 09:56:00,realDonaldTrump,Donald J. Trump,"I’ve done more for Firefighters than this dues sucking union will ever do, and I get paid ZERO!https://twitter.com/dbongino/status/1122844935391252480 …",,1123526475481800704,/realDonaldTrump/status/1123526475481800704,14986,65421,10701
2019-05-05 20:03:58,realDonaldTrump,Donald J. Trump,"“This is not Congressional Oversight, this is bullying.” Jason Riley, The Wall Street Journal",,1125129024890703878,/realDonaldTrump/status/1125129024890703878,15742,62953,8420
2019-05-05 20:01:49,realDonaldTrump,Donald J. Trump,"“The Report sounded an awful lot as being Comeyesque, in other words, I’m not going to charge this person (there wasn’t even close to being a crime), but I’m going to criticize him on the way out the door. That’s unfortunate because it’s stepping outside of the role.” Robert Ray",,1125128484270026753,/realDonaldTrump/status/1125128484270026753,13611,54076,4870
2019-05-05 18:03:29,realDonaldTrump,Donald J. Trump,"....to testify. Are they looking for a redo because they hated seeing the strong NO COLLUSION conclusion? There was no crime, except on the other side (incredibly not covered in the Report), and NO OBSTRUCTION. Bob Mueller should not testify. No redos for the Dems!",,1125098705533767680,/realDonaldTrump/status/1125098705533767680,18120,78512,27459
2019-05-05 18:03:29,realDonaldTrump,Donald J. Trump,"After spending more than $35,000,000 over a two year period, interviewing 500 people, using 18 Trump Hating Angry Democrats & 49 FBI Agents - all culminating in a more than 400 page Report showing NO COLLUSION - why would the Democrats in Congress now need Robert Mueller.......",,1125098704560689157,/realDonaldTrump/status/1125098704560689157,22831,96004,21118
2019-05-05 16:08:46,realDonaldTrump,Donald J. Trump,"....of additional goods sent to us by China remain untaxed, but will be shortly, at a rate of 25%. The Tariffs paid to the USA have had little impact on product cost, mostly borne by China. The Trade Deal with China continues, but too slowly, as they attempt to renegotiate. No!",,1125069836088950784,/realDonaldTrump/status/1125069836088950784,18386,76060,8233
2019-05-05 16:08:46,realDonaldTrump,Donald J. Trump,"For 10 months, China has been paying Tariffs to the USA of 25% on 50 Billion Dollars of High Tech, and 10% on 200 Billion Dollars of other goods. These payments are partially responsible for our great economic results. The 10% will go up to 25% on Friday. 325 Billions Dollars....",,1125069835044573186,/realDonaldTrump/status/1125069835044573186,26461,102023,14107
2019-05-05 15:59:36,realDonaldTrump,Donald J. Trump,"The Kentucky Derby decision was not a good one. It was a rough & tumble race on a wet and sloppy track, actually, a beautiful thing to watch. Only in these days of political correctness could such an overturn occur. The best horse did NOT win the Kentucky Derby - not even close!",,1125067530828173313,/realDonaldTrump/status/1125067530828173313,15308,73949,20788
2019-05-05 14:55:18,realDonaldTrump,Donald J. Trump,"I am pleased to inform all of those that believe in a strong, fair and sound Immigration Policy that Mark Morgan will be joining the Trump Administration as the head of our hard working men and women of ICE. Mark is a true believer and American Patriot. He will do a great job!",,1125051346456121346,/realDonaldTrump/status/1125051346456121346,20608,94875,8720
2019-05-05 01:44:39,realDonaldTrump,Donald J. Trump,Mike has been a fantastic Senator!https://twitter.com/dailycaller/status/1124841210684813315 …,,1124852373338435584,/realDonaldTrump/status/1124852373338435584,7909,38632,2694
2019-05-06 17:21:54,realDonaldTrump,Donald J. Trump,Congratulations @ArmyWP_Football!https://www.pscp.tv/w/b6BkCzFvTlFsTFJub1dwUXd8MXJteFBld1lhbmJLTv2IBHmZJrrVIS-y9YaexReLFAYkLQINOOBgdIJcBKhp?t=3m48s …,,1125450630196232192,/realDonaldTrump/status/1125450630196232192,11794,54401,3479
2019-05-06 13:51:49,realDonaldTrump,Donald J. Trump,Just spoke to Prime Minister Abe of Japan concerning North Korea and Trade. Very good conversation!,,1125397761204072449,/realDonaldTrump/status/1125397761204072449,16510,80778,9210
2019-05-06 13:48:41,realDonaldTrump,Donald J. Trump,"....Alabama, Iowa, Nebraska, Georgia, South Carolina, North Carolina and others unless much more money is given to Puerto Rico. The Dems don’t want farmers to get any help. Puerto Rico should be very happy and the Dems should stop blocking much needed Disaster Relief!",,1125396971852845056,/realDonaldTrump/status/1125396971852845056,24075,94776,11124
2019-05-06 13:48:41,realDonaldTrump,Donald J. Trump,"Puerto Rico has been given more money by Congress for Hurricane Disaster Relief, 91 Billion Dollars, than any State in the history of the U.S. As an example, Florida got $12 Billion & Texas $39 Billion for their monster hurricanes. Now the Democrats are saying NO Relief to......",,1125396971009859585,/realDonaldTrump/status/1125396971009859585,28316,100918,18256
2019-05-06 13:30:14,realDonaldTrump,Donald J. Trump,"Scott Walker is 100% correct when he says that the Republicans must WAKE UP to the Democrats State by State power grab. They play very dirty, actually, like never before. Don’t allow them to get away with what they are doing!",,1125392330083663875,/realDonaldTrump/status/1125392330083663875,27524,95498,17434
2019-05-06 11:08:41,realDonaldTrump,Donald J. Trump,"The United States has been losing, for many years, 600 to 800 Billion Dollars a year on Trade. With China we lose 500 Billion Dollars. Sorry, we’re not going to be doing that anymore!",,1125356705787850753,/realDonaldTrump/status/1125356705787850753,27876,118937,15534
2019-05-06 10:46:01,realDonaldTrump,Donald J. Trump,"Also, there are “No High Crimes & Misdemeanors,” No Collusion, No Conspiracy, No Obstruction. ALL THE CRIMES ARE ON THE OTHER SIDE, and that’s what the Dems should be looking at, but they won’t. Nevertheless, the tables are turning!",,1125351003572797440,/realDonaldTrump/status/1125351003572797440,24373,102360,17365
2019-05-06 10:46:01,realDonaldTrump,Donald J. Trump,"“Democrat Texas Congressman Al Green says impeachment is the only thing that can prevent President Trump from re-election in 2020.” @OANN  In other words, Dems can’t win the election fairly. You can’t impeach a president for creating the best economy in our country’s history.....",,1125351000704000000,/realDonaldTrump/status/1125351000704000000,31327,130115,19195
2019-05-06 03:05:35,realDonaldTrump,Donald J. Trump,.....The Witch Hunt is over but we will never forget. MAKE AMERICA GREAT AGAIN!,,1125235131759960064,/realDonaldTrump/status/1125235131759960064,21632,109629,11566
2019-05-06 03:05:35,realDonaldTrump,Donald J. Trump,"Despite the tremendous success that I have had as President, including perhaps the greatest ECONOMY and most successful first two years of any President in history, they have stolen two years of my (our) Presidency (Collusion Delusion) that we will never be able to get back.....",,1125235130002489345,/realDonaldTrump/status/1125235130002489345,26453,129980,23027
2019-05-06 00:13:59,realDonaldTrump,Donald J. Trump,....To the Gazan people — these terrorist acts against Israel will bring you nothing but more misery. END the violence and work towards peace - it can happen!,,1125191945654099968,/realDonaldTrump/status/1125191945654099968,20513,94952,6311
2019-05-06 00:13:59,realDonaldTrump,Donald J. Trump,"Once again, Israel faces a barrage of deadly rocket attacks by terrorist groups Hamas and Islamic Jihad. We support Israel 100% in its defense of its citizens....",,1125191944525832192,/realDonaldTrump/status/1125191944525832192,31127,139443,9050
2019-05-06 00:08:20,realDonaldTrump,Donald J. Trump,"Pending the confirmation of Mark Morgan as our Nation’s new ICE Director, Matt Albence will serve in the role of Acting Director. Matt is tough and dedicated and has my full support to deploy ICE to the maximum extent of the law! #MAGA",#MAGA,1125190521918513153,/realDonaldTrump/status/1125190521918513153,13497,58058,3372
2019-05-03 23:45:22,realDonaldTrump,Donald J. Trump,"As the great people of IA, IL, & MO continue to confront the devastating flooding, know we are here for you and ready to help! My team remains in close contact with @IAGovernor, @GovParsonMO, @GovPritzker, and the local officials managing the impacts of the destructive flooding.",,1124459967682158592,/realDonaldTrump/status/1124459967682158592,10276,44364,3712
